"Julkisyhteisöjen menot tehtävittäin 1990-2014"

"Sektori";"Tehtävä";"Taloustoimi";"Tiedot";"2014"
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";2185
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";2041
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";47
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";47
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"P3K Kulutusmenot";"Käypiin hintoihin";1085
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"NETEXP Nettomenot";"Käypiin hintoihin";3317
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";3173
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"TOTEXP Kokonaismenot";"Käypiin hintoihin";3501
"S13 Julkisyhteisöt";"G0101  Toimeenpano- ja lainsäädäntöelimet, finanssi- ja veroasiat, ulkoasiainhallinto";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";3357
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"P2K Välituotekäyttö";"Käypiin hintoihin";41
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D29K Muut tuotantoverot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D3K Maksetut tukipalkkiot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D4K Omaisuusmenot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D4SK  Omaisuusmenot, sulautettu";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D5K Maksetut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";947
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";947
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";33
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";33
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"P51K Kiinteän pääoman bruttomuodostus";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";.
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"P3K Kulutusmenot";"Käypiin hintoihin";41
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"NETEXP Nettomenot";"Käypiin hintoihin";1021
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"NETEXPS Nettomenot, sulautettu";"Käypiin hintoihin";1021
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"TOTEXP Kokonaismenot";"Käypiin hintoihin";1021
"S13 Julkisyhteisöt";"G0102  Taloudellinen apu ulkomaille";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";1021
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D1K Maksetut palkansaajakorvaukset";"Käypiin hintoihin";2481
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D11K Maksetut palkat ja palkkiot";"Käypiin hintoihin";1892
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"D12K Työnantajan sosiaaliturvamaksut";"Käypiin hintoihin";589
"S13 Julkisyhteisöt";"G0103  Yleiset hallintopalvelut";"P2K Välituotekäyttö";"Käypiin hintoihin";4376
