"Julkisyhteisöjen kokonaistulot ja -menot 1975-2015"

"Sektori";"Taloustoimi";"Tiedot";"2014"
"S13141 Työeläkelaitokset";"D62K Maksetut rahamääräiset sosiaalietuudet";"Käypiin hintoihin";20400
"S13141 Työeläkelaitokset";"D632K Luontoismuotoiset yhteiskunnalliset tulonsiirrot - ostettu markkinatuotanto";"Käypiin hintoihin";0
"S13141 Työeläkelaitokset";"D7K Maksetut muut tulonsiirrot";"Käypiin hintoihin";1877
"S13141 Työeläkelaitokset";"D7SK Maksetut muut tulonsiirrot, sulautettu";"Käypiin hintoihin";0
"S13141 Työeläkelaitokset";"D9K Maksetut pääomansiirrot";"Käypiin hintoihin";1
"S13141 Työeläkelaitokset";"D9SK Maksetut pääomansiirrot, sulautettu";"Käypiin hintoihin";1
"S13141 Työeläkelaitokset";"P5K Pääoman bruttomuodostus";"Käypiin hintoihin";-99
"S13141 Työeläkelaitokset";"NPK Valmistamattomien muiden kuin rahoitusvarojen nettohankinta";"Käypiin hintoihin";0
"S13141 Työeläkelaitokset";"TOTEXP Kokonaismenot";"Käypiin hintoihin";23449
"S13141 Työeläkelaitokset";"TOTEXPS Kokonaismenot, sulautettu";"Käypiin hintoihin";.
"S13141 Työeläkelaitokset";"B9T Nettoluotonanto (+) / nettoluotonotto (-)";"Käypiin hintoihin";3392
"S13149 Muut sosiaaliturvarahastot";"P11R Markkinatuotos";"Käypiin hintoihin";9
"S13149 Muut sosiaaliturvarahastot";"P12R Tuotos omaan loppukäyttöön";"Käypiin hintoihin";15
"S13149 Muut sosiaaliturvarahastot";"P131R Markkinattomien tuotteiden myynnit";"Käypiin hintoihin";6
"S13149 Muut sosiaaliturvarahastot";"D2R Saadut tuotannon ja tuonnin verot";"Käypiin hintoihin";.
"S13149 Muut sosiaaliturvarahastot";"D4R Omaisuustulot";"Käypiin hintoihin";28
"S13149 Muut sosiaaliturvarahastot";"D4SR Omaisuustulot, sulautettu";"Käypiin hintoihin";27
"S13149 Muut sosiaaliturvarahastot";"D411RJ Julkisyhteisöjen väliset korot, saadut";"Käypiin hintoihin";1
"S13149 Muut sosiaaliturvarahastot";"D5R Saadut tulo-, varallisuus-, ym. juoksevat verot";"Käypiin hintoihin";.
"S13149 Muut sosiaaliturvarahastot";"D61R Saadut sosiaaliturvamaksut";"Käypiin hintoihin";5883
